Province,Sector,MonthYear,Employment
Quebec,Construction,Jan-2011,179882
Quebec,Construction,Feb-2011,179347
Quebec,Construction,Mar-2011,180115
Quebec,Construction,Apr-2011,176500
Quebec,Construction,May-2011,175052
Quebec,Construction,Jun-2011,177415
Quebec,Construction,Jul-2011,178173
Quebec,Construction,Aug-2011,176382
Quebec,Construction,Sep-2011,177069
Quebec,Construction,Oct-2011,177646
Quebec,Construction,Nov-2011,180362
Quebec,Construction,Dec-2011,181601
Quebec,Construction,Jan-2012,178076
Quebec,Construction,Feb-2012,182481
Quebec,Construction,Mar-2012,183600
Quebec,Construction,Apr-2012,187908
Quebec,Construction,May-2012,188880
Quebec,Construction,Jun-2012,186170
Quebec,Construction,Jul-2012,190137
Quebec,Construction,Aug-2012,186343
Quebec,Construction,Sep-2012,187420
Quebec,Construction,Oct-2012,188898
Quebec,Construction,Nov-2012,190161
Quebec,Construction,Dec-2012,192214
Quebec,Construction,Jan-2013,190491
Quebec,Construction,Feb-2013,191137
Quebec,Construction,Mar-2013,190881
Quebec,Construction,Apr-2013,190969
Quebec,Construction,May-2013,187615
Quebec,Construction,Jun-2013,168818
Quebec,Construction,Jul-2013,188502
Quebec,Construction,Aug-2013,188812
Quebec,Construction,Sep-2013,187936
Quebec,Construction,Oct-2013,188079
Quebec,Construction,Nov-2013,185184
Quebec,Construction,Dec-2013,187821
Quebec,Construction,Jan-2014,186529
Quebec,Construction,Feb-2014,187819
Quebec,Construction,Mar-2014,186903
Quebec,Construction,Apr-2014,184641
Quebec,Construction,May-2014,186419
Quebec,Construction,Jun-2014,187872
Quebec,Construction,Jul-2014,185820
Quebec,Construction,Aug-2014,189082
Quebec,Construction,Sep-2014,187700
Quebec,Construction,Oct-2014,186993
Quebec,Construction,Nov-2014,185460
Quebec,Construction,Dec-2014,182446
Quebec,Construction,Jan-2015,181337
Quebec,Construction,Feb-2015,179450
Quebec,Construction,Mar-2015,179221
Quebec,Construction,Apr-2015,177724
