Province,Sector,Year,Investment
Quebec,Construction,2011,1028
Quebec,Construction,2012,967
Quebec,Construction,2013,962
Quebec,Construction,2014,648
Quebec,Construction,2015,670
Quebec,Construction,2016,634
Quebec,Construction,2017,909
Quebec,Manufacturing,2011,2598
Quebec,Manufacturing,2012,2563
Quebec,Manufacturing,2013,2442
Quebec,Manufacturing,2014,2223
Quebec,Manufacturing,2015,2084
Quebec,Manufacturing,2016,1978
Quebec,Manufacturing,2017,2238
Ontario,Construction,2011,1378
Ontario,Construction,2012,1307
Ontario,Construction,2013,1190
Ontario,Construction,2014,1238
Ontario,Construction,2015,1328
Ontario,Construction,2016,1160
Ontario,Construction,2017,1319
Ontario,Manufacturing,2011,4452
Ontario,Manufacturing,2012,4377
Ontario,Manufacturing,2013,3670
Ontario,Manufacturing,2014,4326
Ontario,Manufacturing,2015,4420
Ontario,Manufacturing,2016,3774
Ontario,Manufacturing,2017,3959
