Province,Sector,Year,Investment
Quebec,Construction,2011,1257
Quebec,Construction,2012,1177
Quebec,Construction,2013,1200
Quebec,Construction,2014,861
Quebec,Construction,2015,878
Quebec,Construction,2016,828
Quebec,Construction,2017,1154
Quebec,Manufacturing,2011,6727
Quebec,Manufacturing,2012,6717
Quebec,Manufacturing,2013,6434
Quebec,Manufacturing,2014,6778
Quebec,Manufacturing,2015,5780
Quebec,Manufacturing,2016,5820
Quebec,Manufacturing,2017,6307
Ontario,Construction,2011,1757
Ontario,Construction,2012,1654
Ontario,Construction,2013,1543
Ontario,Construction,2014,1611
Ontario,Construction,2015,1730
Ontario,Construction,2016,1518
Ontario,Construction,2017,1708
Ontario,Manufacturing,2011,8110
Ontario,Manufacturing,2012,8331
Ontario,Manufacturing,2013,7504
Ontario,Manufacturing,2014,8523
Ontario,Manufacturing,2015,8908
Ontario,Manufacturing,2016,7479
Ontario,Manufacturing,2017,8304
