Province,Year,Residential building construction [BS23A],Non-residential building construction [BS23B],Engineering construction [BS23C],Repair construction [BS23D],Other activities of the construction industry [BS23E],Manufacturing [BS3A0]
Quebec,2011,19852.80,8439.80,14780.20,7353.90,462.20,145645.10
Quebec,2012,20366.70,9882.70,16356.40,8046.80,486.60,148294.40
Quebec,2013,19239.80,9130.20,16332.60,7372.20,522.30,146463.50
Quebec,2014,19338.90,9455.80,14120.60,8430.30,557.20,153768.90
Quebec,2015,19292.30,8981.20,14444.50,9033.10,606.60,156183.20
Quebec,2016,19986.30,8333.70,13689.40,9348.50,565.40,158376.50
Quebec,2017,22004.30,8468.20,14995.40,9870.00,594.50,170313.60
Ontario,2011,32882.10,17728.20,17302.50,12028.80,1135.30,289492.40
Ontario,2012,36513.10,16510.10,19361.20,11648.90,1169.40,301628.50
Ontario,2013,35983.90,15126.20,19926.00,12584.20,1235.60,301250.30
Ontario,2014,36936.50,15009.50,22804.30,13323.50,1331.90,314820.60
Ontario,2015,40613.00,16734.10,25143.30,14344.70,1457.30,329056.40
Ontario,2016,45169.20,15126.10,23372.10,14433.40,1356.60,335236.90
Ontario,2017,48967.90,17418.40,22573.30,14977.20,1421.00,339954.00
