"Employee wages by industry, annual 1"
"Frequency: Annual"
"Table: 14-10-0064-01 (formerly CANSIM 282-0072)"
"Release date: 2022-01-07"
"Geography: Canada, Province or territory"
""
""

,,"Wages 3","Average hourly wage rate"
,,"Type of work","Full-time employees 5"
,,"Sex","Both sexes"
,,"Age group","15 years and over"
"Geography 2","North American Industry Classification System (NAICS) 4","Reference period"
,,,"Current dollars"
"Quebec","Construction","2011","24.79"
,,"2012","25.48"
,,"2013","26.24"
,,"2014","26.68"
,,"2015","27.13"
,,"2016","28.32"
,,"2017","29.30"
,"Manufacturing","2011","21.76"
,,"2012","22.65"
,,"2013","22.79"
,,"2014","23.84"
,,"2015","24.04"
,,"2016","24.51"
,,"2017","25.28"
"Ontario","Construction","2011","24.67"
,,"2012","24.82"
,,"2013","25.56"
,,"2014","26.06"
,,"2015","27.67"
,,"2016","27.89"
,,"2017","27.90"
,"Manufacturing","2011","24.01"
,,"2012","24.27"
,,"2013","24.90"
,,"2014","25.24"
,,"2015","25.56"
,,"2016","25.60"
,,"2017","25.39"




Footnotes:
1,"To ensure respondent confidentiality, estimates below a certain threshold are suppressed. For Canada, Quebec, Ontario, Alberta and British Columbia suppression is applied to all data below 1,500. The threshold level for Newfoundland and Labrador, Nova Scotia, New Brunswick, Manitoba and Saskatchewan is 500, while in Prince Edward Island, estimates under 200 are supressed. For census metropolitan areas (CMAs) and economic regions (ERs), use their respective provincial suppression levels mentioned above. Estimates are based on smaller sample sizes the more detailed the table becomes, which could result in lower data quality."
2,"Excluding the territories."
3,"Beginning January 1997, information is collected on the usual wages or salary of employees at their main job. Respondents are asked to report their wage/salary before taxes and other deductions, and include tips, commissions and bonuses. Weekly and hourly wages/salaries are calculated in conjunction with usual paid work hours per week."
4,"Industry refers to the general nature of the business carried out by the employer for whom the respondent works (main job only). In January 1999, the industry classification switched from Standard Industrial Classification (SIC 1980) to North American Industrial Classification System (NAICS), which was quite different. For this reason, detailed historical data based on NAICS is provided going back to January 1987. Historical data have been created by imputation. Industry estimates in this table are based on the 2017 North American Industry Classification System (NAICS)."
5,"Full-time employees are those who usually work 30 hours or more per week at their main or only job. Estimates in thousands, rounded to the nearest hundred."



"How to cite: Statistics Canada. Table 14-10-0064-01  Employee wages by industry, annual"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410006401
