"Flows and stocks of fixed non-residential capital, by industry and type of asset, Canada, provinces and territories (x 1,000,000)"
"Frequency: Annual"
"Table: 36-10-0096-01 (formerly CANSIM 031-0005)"
"Release date: 2022-11-17"
"Geography: Canada, Province or territory"
""
""

"Geography","Quebec",,,,,,"Ontario",,,,,
"Prices","2012 constant prices",,,,,,"2012 constant prices",,,,,
"Industry","Construction",,,"Manufacturing",,,"Construction",,,"Manufacturing",,
"Flows and stocks","Investment",,,"Investment",,,"Investment",,,"Investment",,
"Assets","Total non-residential","Machinery and equipment","Intellectual property products","Total non-residential","Machinery and equipment","Intellectual property products","Total non-residential","Machinery and equipment","Intellectual property products","Total non-residential","Machinery and equipment","Intellectual property products"
"Reference period"
,"Dollars",,,,,,,,,,,
"2010","1,185","958","52","5,326","2,190","2,564","1,728","1,359","113","8,191","4,085","3,250"
"2011","1,257","1,028","52","6,727","2,598","2,650","1,757","1,378","134","8,110","4,452","3,072"
"2012","1,177","967","56","6,717","2,563","2,643","1,654","1,307","128","8,331","4,377","2,938"
"2013","1,200","962","69","6,434","2,442","3,010","1,543","1,190","130","7,504","3,670","2,922"
"2014","861","648","66","6,778","2,223","3,337","1,611","1,238","134","8,523","4,326","3,023"
"2015","878","670","62","5,780","2,084","2,657","1,730","1,328","137","8,908","4,420","3,224"
"2016","828","634","47","5,820","1,978","2,578","1,518","1,160","100","7,479","3,774","2,725"
"2017","1,154","909","56","6,307","2,238","2,994","1,708","1,319","107","8,304","3,959","3,186"
"2018","1,158","919","51","6,220","2,263","2,839","1,876","1,459","105","9,668","5,020","3,160"




"How to cite: Statistics Canada. Table 36-10-0096-01  Flows and stocks of fixed non-residential capital, by industry and type of asset, Canada, provinces and territories (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610009601
