"Flows and stocks of fixed non-residential capital, by industry and type of asset, Canada, provinces and territories (x 1,000,000)"
"Frequency: Annual"
"Table: 36-10-0096-01 (formerly CANSIM 031-0005)"
"Release date: 2022-11-17"
"Geography: Canada, Province or territory"
""
""

,,"Prices","2012 constant prices"
,,"Flows and stocks","Investment"
,,"Assets","Intellectual property products"
"Geography","Industry","Reference period"
,,,"Dollars"
"Quebec","Construction","2011","52"
,,"2012","56"
,,"2013","69"
,,"2014","66"
,,"2015","62"
,,"2016","47"
,,"2017","56"
,"Manufacturing","2011","2,650"
,,"2012","2,643"
,,"2013","3,010"
,,"2014","3,337"
,,"2015","2,657"
,,"2016","2,578"
,,"2017","2,994"
"Ontario","Construction","2011","134"
,,"2012","128"
,,"2013","130"
,,"2014","134"
,,"2015","137"
,,"2016","100"
,,"2017","107"
,"Manufacturing","2011","3,072"
,,"2012","2,938"
,,"2013","2,922"
,,"2014","3,023"
,,"2015","3,224"
,,"2016","2,725"
,,"2017","3,186"




"How to cite: Statistics Canada. Table 36-10-0096-01  Flows and stocks of fixed non-residential capital, by industry and type of asset, Canada, provinces and territories (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610009601
