"Flows and stocks of fixed non-residential capital, by industry and type of asset, Canada, provinces and territories (x 1,000,000)"
"Frequency: Annual"
"Table: 36-10-0096-01 (formerly CANSIM 031-0005)"
"Release date: 2022-11-17"
"Geography: Canada, Province or territory"
""
""

,,"Prices","2012 constant prices"
,,"Flows and stocks","Investment"
,,"Assets","Machinery and equipment"
"Geography","Industry","Reference period"
,,,"Dollars"
"Quebec","Construction","2011","1,028"
,,"2012","967"
,,"2013","962"
,,"2014","648"
,,"2015","670"
,,"2016","634"
,,"2017","909"
,"Manufacturing","2011","2,598"
,,"2012","2,563"
,,"2013","2,442"
,,"2014","2,223"
,,"2015","2,084"
,,"2016","1,978"
,,"2017","2,238"
"Ontario","Construction","2011","1,378"
,,"2012","1,307"
,,"2013","1,190"
,,"2014","1,238"
,,"2015","1,328"
,,"2016","1,160"
,,"2017","1,319"
,"Manufacturing","2011","4,452"
,,"2012","4,377"
,,"2013","3,670"
,,"2014","4,326"
,,"2015","4,420"
,,"2016","3,774"
,,"2017","3,959"




"How to cite: Statistics Canada. Table 36-10-0096-01  Flows and stocks of fixed non-residential capital, by industry and type of asset, Canada, provinces and territories (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610009601
