"Flows and stocks of fixed non-residential capital, by industry and type of asset, Canada, provinces and territories (x 1,000,000)"
"Frequency: Annual"
"Table: 36-10-0096-01 (formerly CANSIM 031-0005)"
"Release date: 2022-11-17"
"Geography: Canada, Province or territory"
""
""

,,"Prices","2012 constant prices"
,,"Flows and stocks","Investment"
,,"Assets","Total non-residential"
"Geography","Industry","Reference period"
,,,"Dollars"
"Quebec","Construction","2011","1,257"
,,"2012","1,177"
,,"2013","1,200"
,,"2014","861"
,,"2015","878"
,,"2016","828"
,,"2017","1,154"
,"Manufacturing","2011","6,727"
,,"2012","6,717"
,,"2013","6,434"
,,"2014","6,778"
,,"2015","5,780"
,,"2016","5,820"
,,"2017","6,307"
"Ontario","Construction","2011","1,757"
,,"2012","1,654"
,,"2013","1,543"
,,"2014","1,611"
,,"2015","1,730"
,,"2016","1,518"
,,"2017","1,708"
,"Manufacturing","2011","8,110"
,,"2012","8,331"
,,"2013","7,504"
,,"2014","8,523"
,,"2015","8,908"
,,"2016","7,479"
,,"2017","8,304"




"How to cite: Statistics Canada. Table 36-10-0096-01  Flows and stocks of fixed non-residential capital, by industry and type of asset, Canada, provinces and territories (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610009601
