"Output, by sector and industry, provincial and territorial (x 1,000,000) 1 2 3 4"
"Frequency: Annual"
"Table: 36-10-0488-01 (formerly CANSIM 381-0031)"
"Release date: 2022-11-08"
"Geography: Canada, Province or territory"
""
""

,"Geography","Quebec","Ontario"
"Industry","Reference period"
,,"Dollars",
"Residential building construction  [BS23A]","2011","19,852.8","32,882.1"
,"2012","20,366.7","36,513.1"
,"2013","19,239.8","35,983.9"
,"2014","19,338.9","36,936.5"
,"2015","19,292.3","40,613.0"
,"2016","19,986.3","45,169.2"
,"2017","22,004.3","48,967.9"
"Non-residential building construction  [BS23B]","2011","8,439.8","17,728.2"
,"2012","9,882.7","16,510.1"
,"2013","9,130.2","15,126.2"
,"2014","9,455.8","15,009.5"
,"2015","8,981.2","16,734.1"
,"2016","8,333.7","15,126.1"
,"2017","8,468.2","17,418.4"
"Engineering construction  [BS23C]","2011","14,780.2","17,302.5"
,"2012","16,356.4","19,361.2"
,"2013","16,332.6","19,926.0"
,"2014","14,120.6","22,804.3"
,"2015","14,444.5","25,143.3"
,"2016","13,689.4","23,372.1"
,"2017","14,995.4","22,573.3"
"Repair construction  [BS23D]","2011","7,353.9","12,028.8"
,"2012","8,046.8","11,648.9"
,"2013","7,372.2","12,584.2"
,"2014","8,430.3","13,323.5"
,"2015","9,033.1","14,344.7"
,"2016","9,348.5","14,433.4"
,"2017","9,870.0","14,977.2"
"Other activities of the construction industry  [BS23E]","2011","462.2","1,135.3"
,"2012","486.6","1,169.4"
,"2013","522.3","1,235.6"
,"2014","557.2","1,331.9"
,"2015","606.6","1,457.3"
,"2016","565.4","1,356.6"
,"2017","594.5","1,421.0"
"Manufacturing  [BS3A0]","2011","145,645.1","289,492.4"
,"2012","148,294.4","301,628.5"
,"2013","146,463.5","301,250.3"
,"2014","153,768.9","314,820.6"
,"2015","156,183.2","329,056.4"
,"2016","158,376.5","335,236.9"
,"2017","170,313.6","339,954.0"




Footnotes:
1,"This table replaces table 36-10-0409. Data in this table are not fully comparable with those previously published."
2,"The industries in this table are based on the Input-Output Industry Classification (IOIC). This classification has four levels of hierarchy, consisting of the Detail level, Link-1997 level, Link-1961 level and Summary level. The classification is available upon request."
3,"The information contained within this table is based on the 2019 comprehensive revision of the Canadian System of Macroeconomic Accounts. More information about these changes is available at the following link: <a href="https://www150.statcan.gc.ca/n1/pub/13-605-x/2019001/article/00007-eng.htm" rel="external noopener noreferrer" target="_blank">A preview of the 2019 revision of the Canadian System of Macroeconomic Accounts (opens new window)</a>."
4,"Effective with the May 1, 2019 release, estimates of output by industry include estimates of the licensed and unlicensed economic activities related to cannabis production, distribution and consumption for non-medical and medical use. This is reflected in the introduction of new industries in the agriculture and retail sectors covering licensed and unlicensed activities back to the beginning of the current series in 1997. For more information, please read the article "<a href="https://www150.statcan.gc.ca/n1/pub/13-605-x/2018001/article/54969-eng.htm" rel="external noopener noreferrer" target="_blank">Integrating the production, distribution and consumption of cannabis in the Canadian national economic accounts (opens new window)</a>"."



"How to cite: Statistics Canada. Table 36-10-0488-01  Output, by sector and industry, provincial and territorial (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610048801
