"Flows and stocks of fixed non-residential capital, by industry and type of asset, Canada, provinces and territories (x 1,000,000)",,,,
Frequency: Annual,,,,
Table: 36-10-0096-01 (formerly CANSIM 031-0005),,,,
Release date: 2022-11-17,,,,
"Geography: Canada, Province or territory",,,,
,,,,
,,,,
,,,,
Geography,Quebec,,Ontario,
Prices,2012 constant prices,,2012 constant prices,
Industry,Construction,Manufacturing,Construction,Manufacturing
Flows and stocks,Investment,Investment,Investment,Investment
Assets,Machinery and equipment,Machinery and equipment,Machinery and equipment,Machinery and equipment
Reference period,,,,
,Dollars,,,
2011,"1,028","2,598","1,378","4,452"
2012,967,"2,563","1,307","4,377"
2013,962,"2,442","1,190","3,670"
2014,648,"2,223","1,238","4,326"
2015,670,"2,084","1,328","4,420"
2016,634,"1,978","1,160","3,774"
2017,909,"2,238","1,319","3,959"
,,,,
,,,,
,,,,
,,,,
"How to cite: Statistics Canada. Table 36-10-0096-01  Flows and stocks of fixed non-residential capital, by industry and type of asset, Canada, provinces and territories (x 1,000,000)",,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610009601,,,,
