"Flows and stocks of fixed non-residential capital, by industry and type of asset, Canada, provinces and territories (x 1,000,000)",,,,
Frequency: Annual,,,,
Table: 36-10-0096-01 (formerly CANSIM 031-0005),,,,
Release date: 2022-11-17,,,,
"Geography: Canada, Province or territory",,,,
,,,,
,,,,
,,,,
Geography,Quebec,,Ontario,
Prices,2012 constant prices,,2012 constant prices,
Industry,Construction,Manufacturing,Construction,Manufacturing
Flows and stocks,Investment,Investment,Investment,Investment
Assets,Total non-residential,Total non-residential,Total non-residential,Total non-residential
Reference period,,,,
,Dollars,,,
2011,"1,257","6,727","1,757","8,110"
2012,"1,177","6,717","1,654","8,331"
2013,"1,200","6,434","1,543","7,504"
2014,861,"6,778","1,611","8,523"
2015,878,"5,780","1,730","8,908"
2016,828,"5,820","1,518","7,479"
2017,"1,154","6,307","1,708","8,304"
,,,,
,,,,
,,,,
,,,,
"How to cite: Statistics Canada. Table 36-10-0096-01  Flows and stocks of fixed non-residential capital, by industry and type of asset, Canada, provinces and territories (x 1,000,000)",,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610009601,,,,
